Lane1_T1,Lane1_T2,Lane1_T3,Lane1_T4,Lane1_T5,Lane2_T1,Lane2_T2,Lane2_T3,Lane2_T4,Lane2_T5,Lane3_T1,Lane3_T2,Lane3_T3,Lane3_T4,Lane3_T5,Lane4_T1,Lane4_T2,Lane4_T3,Lane4_T4,Lane4_T5,Lane5_T1,Lane5_T2,Lane5_T3,Lane5_T4,Lane5_T5,Target_Traffic_Flow
75,70,75,79,26,15,93,1,98,50,22,5,4,91,79,98,97,55,67,42,2,11,50,71,27,0
37,14,89,15,46,14,10,29,21,31,71,60,73,64,27,86,21,15,34,77,99,53,23,87,4,1
26,63,70,47,92,27,34,12,63,89,14,80,59,6,50,46,80,8,8,38,24,68,13,21,61,3
78,32,36,72,7,23,10,75,68,53,79,45,73,99,31,36,8,91,65,50,48,1,44,54,7,4
47,89,92,37,85,53,23,12,17,39,0,58,36,54,43,63,43,54,45,88,23,2,28,11,94,0
65,93,29,29,25,89,88,66,14,74,85,92,64,35,78,75,37,55,91,83,13,38,52,29,13,4
97,88,80,53,22,24,20,10,81,54,72,38,41,15,33,51,10,65,34,10,26,12,97,14,47,4
43,72,96,25,34,79,56,38,12,20,50,36,25,30,5,7,80,78,12,27,30,30,34,45,47,3
17,67,23,19,31,5,97,45,80,57,35,59,80,6,6,29,83,77,96,76,1,33,30,78,93,0
78,93,87,20,95,3,75,38,72,36,2,53,72,86,28,14,17,3,5,97,40,71,3,68,78,3
94,86,84,32,68,23,77,65,92,37,66,83,21,26,83,51,98,35,66,71,41,89,78,19,5,3
57,97,0,91,41,23,45,59,51,62,90,81,58,19,38,22,83,30,82,84,36,40,28,47,84,1
37,37,40,6,62,69,27,60,78,61,89,69,77,85,2,31,21,14,41,56,95,64,89,3,35,4
79,45,97,45,1,35,56,64,31,38,80,2,59,32,60,67,78,64,56,40,32,57,99,5,46,0
91,26,56,19,39,84,59,2,1,39,63,92,43,56,62,75,63,53,22,84,9,36,51,55,20,1
36,90,36,11,5,18,98,14,36,54,18,86,51,9,5,96,17,99,77,92,82,96,42,29,17,2
59,88,5,6,24,14,97,52,20,71,46,42,87,63,9,80,58,0,59,15,42,33,54,87,65,3
36,61,95,56,47,64,15,1,26,67,49,41,61,8,82,63,95,78,35,23,8,78,39,6,48,2
43,96,13,37,52,44,69,22,20,79,15,39,96,8,15,41,48,15,16,43,20,2,70,90,77,0
67,24,5,31,95,51,56,17,97,6,14,17,36,6,71,54,78,45,69,23,7,24,55,99,64,3
57,41,48,91,96,3,93,12,88,95,9,89,1,34,76,97,57,84,43,36,33,55,2,89,45,4
18,80,54,2,3,11,48,77,3,42,85,12,45,32,41,49,39,78,70,53,32,32,82,79,40,2
5,56,7,84,62,29,5,56,46,1,91,60,13,13,1,66,49,11,87,70,2,28,68,2,62,2
28,81,56,37,96,10,13,15,12,49,23,54,60,93,99,56,55,67,14,80,60,39,96,38,59,4
88,80,3,22,25,86,74,59,34,97,97,88,50,3,14,26,10,60,91,53,56,15,72,56,79,0
80,57,52,1,79,75,14,78,87,80,44,0,90,86,59,25,27,24,4,72,20,82,78,65,39,4
67,37,33,95,43,66,93,84,81,95,16,81,4,22,90,70,52,37,32,24,33,95,58,44,30,4
85,55,3,32,50,9,2,54,33,56,71,27,33,49,7,45,11,10,66,52,49,82,89,12,96,2
88,90,58,26,36,60,61,88,69,15,95,4,8,76,54,19,16,54,33,14,42,27,38,7,98,1
31,57,7,49,51,79,56,15,25,79,14,95,39,63,98,76,53,24,89,33,47,23,90,37,71,0
68,3,27,42,34,68,61,66,0,10,73,8,0,46,60,18,9,82,77,25,57,82,12,38,66,4
32,50,41,83,44,71,57,21,63,88,13,75,91,88,78,11,9,90,6,38,57,70,77,41,97,2
69,70,44,44,71,49,85,83,2,22,0,17,9,61,11,35,59,72,92,94,11,19,18,89,83,2
61,85,46,23,80,47,93,7,1,36,61,31,95,39,57,32,86,26,3,76,28,84,89,24,75,1
26,42,56,56,95,84,94,8,92,2,15,29,59,59,19,82,69,69,16,85,74,5,44,19,9,4
39,27,11,47,25,17,20,34,25,25,9,46,12,77,84,8,45,82,43,24,54,44,69,76,73,1
41,71,21,4,80,45,2,97,88,81,65,9,48,88,92,84,96,76,54,4,89,16,80,20,34,1
70,8,30,6,47,50,56,55,12,11,54,38,20,59,43,33,75,19,29,79,21,62,38,97,75,3
66,12,4,23,0,97,85,34,67,13,67,91,42,48,15,90,9,85,92,40,78,95,67,5,36,1
9,28,73,16,76,87,17,58,31,38,68,74,62,41,42,82,61,62,73,30,37,74,21,98,23,2
75,42,19,65,43,62,54,82,32,25,13,88,26,53,64,67,36,72,84,42,75,65,54,81,36,0
38,29,3,52,40,29,34,10,89,72,24,58,22,88,72,62,16,33,10,42,20,7,66,8,32,2
57,22,69,8,15,32,55,9,60,32,15,80,71,27,55,56,42,57,31,4,98,73,7,76,73,3
60,38,19,94,64,14,45,42,2,85,0,51,53,11,68,50,52,26,65,73,98,0,80,53,28,1
51,79,23,89,44,63,53,69,38,43,31,0,18,4,63,42,45,84,55,7,37,5,19,69,63,0
53,90,32,82,81,0,7,98,31,36,88,82,24,50,89,32,16,65,60,5,65,59,48,27,82,1
75,11,5,36,43,77,4,87,43,36,19,95,46,22,40,23,37,96,29,30,78,44,51,0,66,4
85,9,43,71,48,76,11,77,41,9,33,60,84,26,86,84,34,77,11,4,89,0,73,49,36,4
89,27,96,50,66,63,87,1,78,46,79,22,46,58,14,48,67,34,32,44,8,11,62,32,82,1
90,12,94,62,86,38,40,24,13,51,49,16,92,7,34,24,23,64,71,19,94,49,46,79,43,4
82,45,37,2,58,17,68,74,57,30,99,62,68,62,74,47,74,67,99,49,92,71,37,11,65,2
